team1,team2,last_update,bookie,spread1,spread2,points1,points2
Atlanta Hawks,Cleveland Cavaliers,1614119230,1xBet,1.92,2.02,-7.5,7.5
Detroit Pistons,Orlando Magic,1614119230,1xBet,1.98,1.96,4.5,-4.5
Brooklyn Nets,Sacramento Kings,1614119230,1xBet,1.99,1.95,-6.5,6.5
Boston Celtics,Dallas Mavericks,1614119230,1xBet,2.05,1.9,-2.5,2.5
Golden State Warriors,New York Knicks,1614119230,1xBet,2.0,1.94,-3.5,3.5
Philadelphia 76ers,Toronto Raptors,1614119230,1xBet,1.93,2.01,-1.5,1.5
Milwaukee Bucks,Minnesota Timberwolves,1614119230,1xBet,1.98,1.96,-10.5,10.5
Denver Nuggets,Portland Trail Blazers,1614119230,1xBet,2.02,1.92,-6.5,6.5
Los Angeles Clippers,Washington Wizards,1614119230,1xBet,2.01,1.93,-12.5,12.5
Golden State Warriors,Indiana Pacers,1614119230,1xBet,2.02,1.92,1.5,-1.5
Chicago Bulls,Minnesota Timberwolves,1614119230,1xBet,1.98,1.96,-4.5,4.5
Detroit Pistons,New Orleans Pelicans,1614119230,1xBet,1.98,1.96,9.5,-9.5
Atlanta Hawks,Cleveland Cavaliers,1614120074,1xBet,1.92,2.02,-7.5,7.5
Detroit Pistons,Orlando Magic,1614120074,1xBet,1.95,1.99,4.5,-4.5
Brooklyn Nets,Sacramento Kings,1614120074,1xBet,1.99,1.95,-6.5,6.5
Boston Celtics,Dallas Mavericks,1614120074,1xBet,2.05,1.9,-2.5,2.5
Golden State Warriors,New York Knicks,1614120074,1xBet,2.0,1.94,-3.5,3.5
Philadelphia 76ers,Toronto Raptors,1614120074,1xBet,2.02,1.92,-2.5,2.5
Milwaukee Bucks,Minnesota Timberwolves,1614120074,1xBet,2.02,1.92,-10.5,10.5
Denver Nuggets,Portland Trail Blazers,1614120074,1xBet,2.02,1.92,-6.5,6.5
Los Angeles Clippers,Washington Wizards,1614120074,1xBet,2.01,1.93,-12.5,12.5
Golden State Warriors,Indiana Pacers,1614120074,1xBet,2.02,1.92,1.5,-1.5
Chicago Bulls,Minnesota Timberwolves,1614120074,1xBet,1.98,1.96,-4.5,4.5
Detroit Pistons,New Orleans Pelicans,1614120074,1xBet,1.98,1.96,9.5,-9.5
Atlanta Hawks,Cleveland Cavaliers,1614121066,1xBet,1.92,2.02,-7.5,7.5
Detroit Pistons,Orlando Magic,1614121066,1xBet,1.95,1.99,4.5,-4.5
Brooklyn Nets,Sacramento Kings,1614121066,1xBet,1.99,1.95,-6.5,6.5
Boston Celtics,Dallas Mavericks,1614121066,1xBet,2.05,1.9,-2.5,2.5
Golden State Warriors,New York Knicks,1614121066,1xBet,2.0,1.94,-3.5,3.5
Philadelphia 76ers,Toronto Raptors,1614121066,1xBet,1.94,2.0,-2.5,2.5
Milwaukee Bucks,Minnesota Timberwolves,1614121066,1xBet,2.02,1.92,-10.5,10.5
Denver Nuggets,Portland Trail Blazers,1614121066,1xBet,2.02,1.92,-6.5,6.5
Los Angeles Clippers,Washington Wizards,1614121066,1xBet,2.01,1.93,-12.5,12.5
Golden State Warriors,Indiana Pacers,1614121066,1xBet,2.02,1.92,1.5,-1.5
Chicago Bulls,Minnesota Timberwolves,1614121066,1xBet,1.98,1.96,-4.5,4.5
Detroit Pistons,New Orleans Pelicans,1614121066,1xBet,1.98,1.96,9.5,-9.5
Atlanta Hawks,Cleveland Cavaliers,1614121931,1xBet,1.92,2.02,-7.5,7.5
Detroit Pistons,Orlando Magic,1614121931,1xBet,1.95,1.99,4.5,-4.5
Brooklyn Nets,Sacramento Kings,1614121931,1xBet,1.99,1.95,-6.5,6.5
Boston Celtics,Dallas Mavericks,1614121931,1xBet,2.05,1.9,-2.5,2.5
Golden State Warriors,New York Knicks,1614121931,1xBet,1.95,1.99,-3.5,3.5
Philadelphia 76ers,Toronto Raptors,1614121931,1xBet,1.94,2.0,-2.5,2.5
Milwaukee Bucks,Minnesota Timberwolves,1614121931,1xBet,2.02,1.92,-10.5,10.5
Denver Nuggets,Portland Trail Blazers,1614121931,1xBet,2.02,1.92,-6.5,6.5
Los Angeles Clippers,Washington Wizards,1614121931,1xBet,2.01,1.93,-12.5,12.5
Golden State Warriors,Indiana Pacers,1614121931,1xBet,2.02,1.92,1.5,-1.5
Chicago Bulls,Minnesota Timberwolves,1614121931,1xBet,1.98,1.96,-4.5,4.5
Detroit Pistons,New Orleans Pelicans,1614121931,1xBet,1.98,1.96,9.5,-9.5
Atlanta Hawks,Cleveland Cavaliers,1614122863,1xBet,1.93,2.01,-7.5,7.5
Detroit Pistons,Orlando Magic,1614122863,1xBet,1.95,1.99,4.5,-4.5
Brooklyn Nets,Sacramento Kings,1614122863,1xBet,1.99,1.95,-6.5,6.5
Boston Celtics,Dallas Mavericks,1614122863,1xBet,2.04,1.9,-2.5,2.5
Golden State Warriors,New York Knicks,1614122863,1xBet,1.93,2.01,-3.5,3.5
Philadelphia 76ers,Toronto Raptors,1614122863,1xBet,1.94,2.0,-2.5,2.5
Milwaukee Bucks,Minnesota Timberwolves,1614122863,1xBet,1.98,1.96,-10.5,10.5
Denver Nuggets,Portland Trail Blazers,1614122863,1xBet,2.02,1.92,-6.5,6.5
Los Angeles Clippers,Washington Wizards,1614122863,1xBet,2.01,1.93,-12.5,12.5
Golden State Warriors,Indiana Pacers,1614122863,1xBet,2.02,1.92,1.5,-1.5
Chicago Bulls,Minnesota Timberwolves,1614122863,1xBet,1.98,1.96,-4.5,4.5
Detroit Pistons,New Orleans Pelicans,1614122863,1xBet,1.98,1.96,9.5,-9.5
Atlanta Hawks,Cleveland Cavaliers,1614123723,1xBet,1.93,2.01,-7.5,7.5
Detroit Pistons,Orlando Magic,1614123723,1xBet,1.95,1.99,4.5,-4.5
Brooklyn Nets,Sacramento Kings,1614123723,1xBet,2.02,1.92,-6.5,6.5
Boston Celtics,Dallas Mavericks,1614123723,1xBet,2.04,1.9,-2.5,2.5
Golden State Warriors,New York Knicks,1614123723,1xBet,1.93,2.01,-3.5,3.5
Philadelphia 76ers,Toronto Raptors,1614123723,1xBet,1.94,2.0,-2.5,2.5
Milwaukee Bucks,Minnesota Timberwolves,1614123723,1xBet,1.98,1.96,-10.5,10.5
Denver Nuggets,Portland Trail Blazers,1614123723,1xBet,2.02,1.92,-6.5,6.5
Los Angeles Clippers,Washington Wizards,1614123723,1xBet,2.01,1.93,-12.5,12.5
Golden State Warriors,Indiana Pacers,1614123723,1xBet,2.02,1.92,1.5,-1.5
Chicago Bulls,Minnesota Timberwolves,1614123723,1xBet,1.98,1.96,-4.5,4.5
Detroit Pistons,New Orleans Pelicans,1614123723,1xBet,1.98,1.96,9.5,-9.5
