201055Sexy Lot,1.875,1,4.33,-6,7.533333333,-0.7,1,10,51
201055Emmpressive Lady,3.142857143,7,6,-5,9.533333333,-0.68,0,0,#N/A
201055Schiaparannie,3.75,9,26,-2,5.533333333,0,3,4,23
201055Kentford Heiress,4,8,34,0,7.533333333,-0.7,1,4,44
201197Storm Melody,3.375,9,7,-2,2.882352941,0,0,0,40
201197Giovanni Tiepolo,3.375,16,67,-6,1.882352941,-0.1,3,0,29
201197Port Noir,4.75,5,8,-6,2.882352941,0,0,0,20
201197My Town Chicago,3.5,7,21,-4,2.882352941,0,0,0,25
201199Able Kane,1.875,2,6.5,-5,1.75,-0.4,3,0,36
201199Diligent Lady,4.25,5,7.5,-5,5.75,0,0,0,24
201199Union Rose,3.375,4,6,0,4.75,-0.1,1,0,18
201199King Of Stars,3.5,1,8,-5,2.75,-0.3,2,0,31
201202Act Of Magic,3.875,8,6,-6,3.428571429,-0.1,2,0,32
201202Bay May,3.25,9,8,-7,4.428571429,0,0,0,21
201203Limelighter,3.714285714,6,15,-4,1.214285714,-0.2,3,0,37
201203Wind In My Sails,3.25,9,10,0,3.214285714,0,0,0,27
201203Redredrobin,6.75,14,23,-5,2.214285714,-0.1,2,0,7
201204Headshot,3.125,2,3.5,0,8,0,0,0,45
201206Alcazan,5.75,1,3.25,0,4.428571429,-0.1,1,0,40
201206Bonnie Lad,4,5,4,0,3.428571429,-0.2,2,0,36
201206Ronan Accuser,5.666666667,6,15,0,3.428571429,-0.2,2,0,15
201206Diamonds At Dusk,3,3,5.5,0,5.428571429,0,0,0,12
201207Thrill Seeker,2.75,2,3,-3,-4.333333333,-1,3,0,38
201207Desert Doctor,4.125,5,4,-1,9.666666667,0,0,0,63
201207Pinnata,4,6,17,0,2.666666667,-0.7,2,0,25
201208Madeeh,2.25,2,1.72,-1,7.25,0,0,0,53
201208El Salvaje,4.625,4,5,-2,-6.75,-1,3,0,46
201208Raymond,2.333333333,1,6,0,2.25,-0.5,1,10,29
201208Ship Of The Fen,4.75,3,9.5,0,-2.75,-1.59,2,0,21
201209Count Of Amazonia,3.625,1,2.25,-5,3.6,-0.3,2,0,40
201209The Gill Brothers,3.875,3,6.5,-4,-5.4,-0.8,3,0,35
201209Vintager,2.25,4,5.5,-3,6.6,0,0,0,17
201210Commit No Nuisance,3.875,1,3.5,-1,7.4,-0.58,0,0,43
201210Never Said Nothing,4.125,4,4.33,-1,2.4,0,1,0,47
201210Fly The Nest,3,5,4.35,0,2.4,0,1,0,33
201210Roundel,4,3,7.5,0,2.4,0,1,0,7
201211Morlaix,3.75,1,2.75,-3,2.833333333,0,0,0,49
201211Bayston Hill,3.5,2,6.5,0,0.8333333333,-0.2,2,4,27
201211Bad Attitude,3,5,5,-3,-0.1666666667,-0.3,3,0,22
201211Nawafeth,4.5,3,8,-3,2.833333333,0,0,0,20
201212Lethal Angel,3.875,2,5,-3,6.25,-0.2,1,0,40
201212Something Lucky,6.25,4,11,0,0.25,-0.8,3,0,41
201212Busby,3.125,8,21,-3,8.25,0,0,0,26
201213Storm Home,3.714285714,5,4.33,-1,14.125,0,0,4,54
201213Hazzaar,4.875,2,6,-3,8.125,-0.2,2,10,50
201214Voodoo Doll,3.857142857,5,3.4,0,8,0,0,4,32
201214Steal A March,3.666666667,1,7,-2,3,-1,3,10,58
201214Runswick Bay,2.333333333,3,9.5,-2,5,-0.98,1,10,48
201215Art Approval,3,1,2.1,-3,-1.2,-0.4,2,10,48
201215Getaway Fred,4.142857143,4,10,-1,5.8,-0.78,0,0,40
201215Paseo,5,2,15,-3,2.8,0,1,10,25
201216Frisson Collonges,3.2,4,2.62,-5,4.8,-0.01,1,10,45
201216Finalshot,2.857142857,5,3.75,-3,5.8,0,0,4,28
201216Muffins For Tea,4.5,3,5.5,0,4.8,-0.01,1,0,25
201216Troed Y Melin,3.6,1,10,-2,-7.2,-0.99,3,10,43
201217Midnight Aurora,2,6,2.88,-4,5.777777778,0,1,10,61
201217Frankincense,3.142857143,3,4.5,-6,5.777777778,0,1,10,53
201217Wilde Spirit,3.571428571,5,5,-5,9.777777778,-0.68,0,4,31
201220Dream With Me,3.125,3,3.4,-5,7.2,0,0,0,41
201220The Dancing Poet,3.5,6,9,-4,4.2,-1.03,1,0,38
201220Qawamees,3.625,5,17,-3,3.2,-1.04,2,0,17
201221Ravenscar,2,7,3.75,-4,6,-0.2,1,0,28
201221Thai Terrier,3.25,6,4.5,-4,12,0,0,0,31
201221Alfredo,3.875,5,8.5,0,3,-0.5,2,0,34
201221Red Tornado,2.75,3,15,0,-4,-1.97,3,0,32
201222Waldkonig,2,1,1.9,-2,8.333333333,0,0,0,31
201222Louganini,2.2,5,4.33,-2,0.3333333333,-1.57,2,0,27
201222Victory Chime,2.125,3,8.5,0,5.333333333,-0.3,1,0,35
201223Uncle Jumbo,2.2,4,6.5,0,7.428571429,0,0,0,25
201223Bickerstaffe,0,1,4.5,0,1.428571429,-0.6,2,0,12
201223Internationaldream,2.857142857,3,7.5,0,7.428571429,0,0,0,42
201227Ventura Rascal,3.142857143,3,6.5,-6,4.142857143,-0.1,1,0,36
201227Arranmore,4.25,6,12,-6,3.142857143,-0.2,3,0,32
201227Tukhoom,5.625,11,8,-2,4.142857143,-0.1,1,0,42
201227Copper And Five,3,5,8,-5,5.142857143,0,0,0,8
201680Las Tunas,5.333333333,7,4.35,-4,9.923076923,-0.48,3,0,0
201680First Revolution,2.75,2,6,-6,-5.076923077,-1.49,11,0,0
201680Follow Your Fire,3.142857143,6,6.5,-7,8.923076923,-0.49,14,5,0
201680Mill Race King,4.25,3,7,-5,3.923076923,0,7,0,0
201680The Silver Prince,6.142857143,9,8,-6,2.923076923,-0.1,2,0,0
201680Treshnish,4,1,8.5,-5,8.923076923,-0.49,9,0,0
201680Graystown,3.5,10,11,-4,-0.07692307692,-0.4,7,0,0
201680Roll Of Thunder,4,4,15,-1,-11.07692308,-1.1,9,0,0
201680Challow,5.5,5,26,-6,-10.07692308,-1,7,0,0
201680Indian Voyage,5.833333333,11,34,0,-12.07692308,-1.2,4,0,0
201683Real Armani,2.875,2,6.5,-4,-1.9375,-0.8,15,5,0
201683Cudgel,2.285714286,3,7,-5,0.0625,-0.6,9,0,0
201683Shanroe Street,3.857142857,1,8.5,-2,6.0625,0,9,0,0
201683Hidden Cargo,2.8,7,11,-4,7.0625,-0.8,#N/A,0,0
201683Monte Alban,5.5,4,13,-5,-1.9375,-0.8,8,0,0
201683The Reaping Race,5.25,5,26,-5,-5.9375,-1.79,11,0,0
201684Embole,3.428571429,3,4.33,-2,-4.888888889,-2,20,5,0
201684Ask Paddington,2.285714286,1,5.5,-2,11.11111111,-0.98,16,5,2
201684Aire Valley Lad,3.75,7,6,-2,-10.88888889,-1.7,9,0,0
201684Teescomponents Lad,3.125,4,7.5,-1,14.11111111,0,12,5,2
201684Shetland Bus,4.5,2,8,-1,-1.888888889,-1.97,8,0,0
201684Captain Moirette,4.142857143,5,11,0,-1.888888889,-1.97,9,0,0
201684Eviscerating,3.571428571,6,11,0,4.111111111,-0.6,6,0,0
201684Penpal,3.625,8,34,-3,-9.888888889,-1.6,4,0,0
201688Hydroplane,3.75,1,4,-5,-1.571428571,-0.6,13,5,0
201688Tremwedge,4.142857143,2,5,-5,-0.5714285714,-0.5,13,5,0
201688Glimpse Of Gold,3.714285714,6,8.5,0,-3.571428571,-0.8,10,0,0
201688Harefield,3.285714286,5,12,-2,3.428571429,-0.1,16,5,0
201688Fraser Island,2.428571429,3,19,-5,4.428571429,0,5,0,2
201691Bridle Loanan,4.714285714,3,4.5,-4,4.5,0,14,5,0
201691Mortens Leam,4,1,5,-3,2.5,-0.2,0,0,0
201691Fresno Emery,3.428571429,4,5,-6,-4.5,-0.9,9,0,0
201691Full Trottle,4,2,6,0,-3.5,-0.8,7,0,0
201693Templepark,1.857142857,2,2.75,-2,1,0,18,5,2
201693Quarenta,3.714285714,3,3,-1,4,-0.6,15,5,2
201693Psychedelic Rock,5,1,4.5,0,-6,-0.7,13,5,0
201693Flying Angel,4.833333333,4,7,0,1,0,12,5,0
201694Prince Escalus,3.666666667,3,3.25,-3,0.75,-0.2,15,5,2
201694Oscar Rose,3,1,4,0,-0.25,-0.3,18,5,0
201694Sir Valentine,4.125,2,7.5,-1,-3.25,-0.6,12,5,0
201721Definiteadare,0.6,2,2.25,-4,7.789473684,0,#N/A,0,0
201721Amlad,2.5,3,6,-4,4.789473684,-0.94,#N/A,0,0
201721The Great White,6.142857143,1,7.5,-4,7.789473684,-0.05,#N/A,0,2
201721Fly De Megaudais,4.375,4,12,-3,-7.210526316,-1.92,#N/A,0,0
201721Fire Love,3,11,13,-5,2.789473684,-0.15,25,5,0
201721Arrycan,4.714285714,15,17,-4,-2.210526316,-0.65,#N/A,0,0
201721Ventnor,4.8,13,21,-6,4.789473684,-0.94,#N/A,0,0
201721Lucky Buck,2.25,14,26,-6,-3.210526316,-0.75,#N/A,0,0
201721Rock Of Tuskar,4.666666667,6,26,-6,1.789473684,-0.25,25,5,0
201721Global Mayhem,4.333333333,5,26,-4,-4.210526316,-0.85,#N/A,0,0
201721Anno Maximo,1.5,9,41,-7,3.789473684,-1.05,#N/A,0,0
201721Galypso Clermont,3.75,7,41,-6,-3.210526316,-0.75,25,5,0
201721Haondotri,5.5,8,67,-4,-7.210526316,-1.92,#N/A,0,0
201722Odds Or Evens,4.375,5,5,-6,3.736842105,-0.9,#N/A,0,0
201722Chrisaldy,3,11,5.5,-7,4.736842105,-0.89,#N/A,0,0
201722Highstreetfashion,2.125,4,6,-7,-5.263157895,-0.9,#N/A,0,0
201722Galon De Vauzelle,1.75,3,9,-8,6.736842105,-0.87,#N/A,0,0
201722Glen Robin,2.25,8,13,-8,5.736842105,-0.88,25,5,0
201722Rathnaleen Tou,3.625,1,13,-6,-5.263157895,-0.9,#N/A,0,0
201722Church Lane,2.666666667,9,15,-7,-0.2631578947,-0.4,#N/A,0,0
201722Baby Bellini,4.5,7,15,-3,-5.263157895,-0.9,#N/A,0,0
201722Courting Vickie,2.875,2,17,-6,-3.263157895,-0.7,#N/A,0,0
201722Gendarme,3.333333333,6,21,-7,-3.263157895,-0.7,#N/A,0,0
201722Dympnas Well,4.75,10,21,-8,1.736842105,-0.2,25,5,0
201723Siberian Star,4.625,4,3.25,-6,4.833333333,0,#N/A,0,0
201723Seangoell,4.142857143,2,4.5,-5,0.8333333333,-0.9,#N/A,0,0
201723Thats Lifebuoy,4.25,1,9,-6,-0.1666666667,-0.1,#N/A,0,0
201723Earths Furies,4.666666667,6,10,-7,1.833333333,-0.89,#N/A,0,0
201723Shes Some Doll,3.375,8,11,-6,3.833333333,-0.87,#N/A,0,2
201723Ask And Answer,6,7,13,-4,2.833333333,-0.88,#N/A,0,0
201723Emma Prada,4.25,3,15,-6,-1.166666667,-0.2,#N/A,0,0
201723Northern Love,1.166666667,5,15,-6,-0.1666666667,-0.1,#N/A,0,0
201723Silver Planeur,4.666666667,9,34,-3,1.833333333,-0.89,#N/A,0,0
201724Dr Shirocco,4.75,4,4.5,-7,3.111111111,-0.88,#N/A,0,0
201724Added Bonus,4.428571429,2,5.5,-6,-1.888888889,-0.3,#N/A,0,0
201724Nicoles Milan,3,6,8,-3,0.1111111111,-0.1,#N/A,0,0
201724Boomtown Girl,2,5,9,-8,1.111111111,-0.9,#N/A,0,0
201724Arctic Light,3.25,1,15,-4,4.111111111,-0.87,0,0,0
201724Awayfortheday,5,7,17,-6,3.111111111,-0.88,#N/A,0,0
201697Bring The Bacon,4,2,5.5,-6,12.84615385,0,3,0,2
201697Snougar,3.857142857,3,5.5,-4,9.846153846,-0.3,14,5,0
201697Torrent Des Mottes,4.571428571,5,8.5,-2,0.8461538462,-1.79,7,0,0
201697Rooster Cogburn,4.25,1,10,-4,9.846153846,-0.3,8,0,0
201697Anti Cool,4.2,6,13,0,-8.153846154,-1.7,3,0,0
201697Dallas Cowboy,3.666666667,4,17,-1,15.84615385,-0.78,0,0,2
201697Thomas Blossom,1.875,7,21,-1,-10.15384615,-1.9,#N/A,0,0
201698Linelee King,2.5,5,4.35,-2,-2.25,-0.5,14,5,0
201698Giovanni Change,4.285714286,1,5,-2,-6.25,-0.9,20,5,0
201698Tight Call,3.142857143,4,5.5,-1,2.75,0,5,0,2
201698Nevilles Cross,2.75,3,7,-2,1.75,-0.1,14,5,0
201698Supakalanistic,2.714285714,7,8.5,0,1.75,-0.1,12,5,0
201698Shinobi,1.857142857,6,15,-3,-2.25,-0.5,18,5,0
201699Presence Of Mind,3.833333333,3,3.5,-3,6,-0.78,14,5,2
201699Arthurs Sixpence,2.142857143,4,3.75,-2,6,-0.78,18,5,2
201699Balgemmois,4.75,6,4,-1,-5,-0.8,18,5,0
201699Oscar Wilde,4.142857143,5,7.5,-2,-13,-1.2,9,0,0
201699Montys Award,3.8,1,11,0,3,0,12,5,0
201699Thats A Given,3.571428571,2,12,-2,3,0,8,0,0
201700Romeo Brown,4.714285714,2,6.5,-4,0.3846153846,-0.6,6,0,0
201700Midnight Glance,2.25,8,6.5,-5,6.384615385,0,13,5,0
201700Tour De Pub,5,4,7,-4,-7.615384615,-1,20,5,0
201700Pens Man,4.666666667,6,9,-5,3.384615385,-0.3,15,5,0
201700Oksana,6.428571429,1,9,-3,-6.615384615,-0.9,9,0,0
