last_update,spread1,spread2,points1,points2,result,game
1614119230,1.92,2.02,-7.5,7.5,2,1
1614120074,1.92,2.02,-7.5,7.5,2,1
1614121066,1.92,2.02,-7.5,7.5,2,1
1614121931,1.92,2.02,-7.5,7.5,2,1
1614122863,1.93,2.01,-7.5,7.5,2,1
1614123723,1.93,2.01,-7.5,7.5,2,1
1614119230,2.05,1.9,-2.5,2.5,2,2
1614120074,2.05,1.9,-2.5,2.5,2,2
1614121066,2.05,1.9,-2.5,2.5,2,2
1614121931,2.05,1.9,-2.5,2.5,2,2
1614122863,2.04,1.9,-2.5,2.5,2,2
1614123723,2.04,1.9,-2.5,2.5,2,2
1614119230,1.99,1.95,-6.5,6.5,1,3
1614120074,1.99,1.95,-6.5,6.5,1,3
1614121066,1.99,1.95,-6.5,6.5,1,3
1614121931,1.99,1.95,-6.5,6.5,1,3
1614122863,1.99,1.95,-6.5,6.5,1,3
1614123723,2.02,1.92,-6.5,6.5,1,3
1614119230,1.98,1.96,-4.5,4.5,1,4
1614120074,1.98,1.96,-4.5,4.5,1,4
1614121066,1.98,1.96,-4.5,4.5,1,4
1614121931,1.98,1.96,-4.5,4.5,1,4
1614122863,1.98,1.96,-4.5,4.5,1,4
1614123723,1.98,1.96,-4.5,4.5,1,4
1614119230,2.02,1.92,-6.5,6.5,1,5
1614120074,2.02,1.92,-6.5,6.5,1,5
1614121066,2.02,1.92,-6.5,6.5,1,5
1614121931,2.02,1.92,-6.5,6.5,1,5
1614122863,2.02,1.92,-6.5,6.5,1,5
1614123723,2.02,1.92,-6.5,6.5,1,5
1614119230,1.98,1.96,4.5,-4.5,1,6
1614119230,1.98,1.96,9.5,-9.5,2,7
1614120074,1.95,1.99,4.5,-4.5,1,6
1614120074,1.98,1.96,9.5,-9.5,2,7
1614121066,1.95,1.99,4.5,-4.5,1,6
1614121066,1.98,1.96,9.5,-9.5,2,7
1614121931,1.95,1.99,4.5,-4.5,1,6
1614121931,1.98,1.96,9.5,-9.5,2,7
1614122863,1.95,1.99,4.5,-4.5,1,6
1614122863,1.98,1.96,9.5,-9.5,2,7
1614123723,1.95,1.99,4.5,-4.5,1,6
1614123723,1.98,1.96,9.5,-9.5,2,7
1614119230,2,1.94,-3.5,3.5,1,8
1614119230,2.02,1.92,1.5,-1.5,1,9
1614120074,2,1.94,-3.5,3.5,1,8
1614120074,2.02,1.92,1.5,-1.5,1,9
1614121066,2,1.94,-3.5,3.5,1,8
1614121066,2.02,1.92,1.5,-1.5,1,9
1614121931,1.95,1.99,-3.5,3.5,1,8
1614121931,2.02,1.92,1.5,-1.5,1,9
1614122863,1.93,2.01,-3.5,3.5,1,8
1614122863,2.02,1.92,1.5,-1.5,1,9
1614123723,1.93,2.01,-3.5,3.5,1,8
1614123723,2.02,1.92,1.5,-1.5,1,9
1614119230,2.01,1.93,-12.5,12.5,1,10
1614120074,2.01,1.93,-12.5,12.5,1,10
1614121066,2.01,1.93,-12.5,12.5,1,10
1614121931,2.01,1.93,-12.5,12.5,1,10
1614122863,2.01,1.93,-12.5,12.5,1,10
1614123723,2.01,1.93,-12.5,12.5,1,10
1614119230,1.98,1.96,-10.5,10.5,1,10
1614120074,2.02,1.92,-10.5,10.5,1,11
1614121066,2.02,1.92,-10.5,10.5,1,11
1614121931,2.02,1.92,-10.5,10.5,1,11
1614122863,1.98,1.96,-10.5,10.5,1,11
1614123723,1.98,1.96,-10.5,10.5,1,11
1614119230,1.93,2.01,-1.5,1.5,1,12
1614120074,2.02,1.92,-2.5,2.5,1,12
1614121066,1.94,2,-2.5,2.5,1,12
1614121931,1.94,2,-2.5,2.5,1,12
1614122863,1.94,2,-2.5,2.5,1,12
1614123723,1.94,2,-2.5,2.5,1,12
